sku,count,width,height,depth
16276,55,10.0,10.0,10.0
22443,55,20.0,13.0,16.0
73,55,19.0,10.0,19.0
8528,55,35.0,28.0,26.0
6311,55,6.0,7.0,18.0
28103,55,70.0,60.0,17.0
19304,55,22.0,12.0,27.0
3559,55,16.0,20.0,25.0
29523,55,25.0,10.0,49.0
6197,55,28.0,19.0,53.0
24884,55,21.0,24.0,31.0
872,55,24.0,56.0,16.0
27646,55,37.0,12.0,16.0
23617,55,9.0,3.0,11.0
28395,55,23.0,9.0,26.0
224,55,31.0,19.0,25.0
3381,55,24.0,7.0,34.0
7914,55,29.0,7.0,23.0
7940,55,21.0,8.0,62.0
23200,55,15.0,6.0,14.0
15409,55,33.0,5.0,46.0
17001,54,22.0,17.0,15.0
29778,54,9.0,6.0,9.0
23813,54,37.0,9.0,27.0
27031,54,10.0,10.0,10.0
14390,54,31.0,11.0,17.0
30128,54,10.0,10.0,10.0
13340,54,13.0,2.0,10.0
7947,54,20.0,9.0,15.0
291,54,18.0,22.0,2.0
28569,54,28.0,4.0,36.0
3654,54,16.0,6.0,22.0
2234,54,50.0,18.0,32.0
21901,54,53.0,31.0,11.0
14827,54,24.0,35.0,13.0
19148,54,46.0,27.0,44.0
14848,54,20.0,7.0,19.0
29110,54,10.0,10.0,10.0
27353,54,12.0,16.0,25.0
22156,54,36.0,54.0,21.0
28849,54,30.0,4.0,31.0
3293,54,34.0,7.0,24.0
758,53,12.0,10.0,31.0
19230,53,8.0,3.0,11.0
18608,53,15.0,15.0,23.0
7983,53,27.0,37.0,33.0
12542,53,35.0,5.0,55.0
29360,53,40.0,11.0,63.0
31222,53,10.0,10.0,10.0
6357,53,14.0,3.0,9.0
23451,53,26.0,25.0,37.0
